"","ERHJAHR","PUBJAHR","E_KOORD","N_KOORD","RELI","GTOT","GA01","GA02","GA03","GA05","GA06","GA07","GA08","GB01","GB02","GB03","GB04","GB05","GB06","GB07","GB08","GB09","GB10","GB11","GB12","GG01","GG02","GG03","GG04","GG05","GG06","GG07","GG08","GG09","GH21","GH22","GH23","GH24","GH25","GH26","GH27","GH28","GH29","GE21","GE22","GE23","GE24","GE25","GE26","GE27","GE28","GE29","GE30","GE31","GE32","GWW21","GWW22","GWW23","GWW24","GWW25","GWW26","GWW27","GWW28","GWE21","GWE22","GWE23","GWE24","GWE25","GWE26","GWE27","GWE28","GWE29","GWE30","GWE31","GWE32","GW00","GW01","GW02","GW03","GW04","GW05","GW06","GW07","GW10","WTOT","WTF","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT1","WT1F","WT101","WT102","WT103","WT104","WT105","WT106","WT107","WT108","WT109","WT110","WT111","WT112","WT2","WT2F","WT201","WT202","WT203","WT204","WT205","WT206","WT207","WT208","WT209","WT210","WT211","WT212","WT3","WT3F","WT301","WT302","WT303","WT304","WT305","WT306","WT307","WT308","WT309","WT310","WT311","WT312","WT4","WT4F","WT401","WT402","WT403","WT404","WT405","WT406","WT407","WT408","WT409","WT410","WT411","WT412","WT5","WT5F","WT501","WT502","WT503","WT504","WT505","WT506","WT507","WT508","WT509","WT510","WT511","WT512","WT6","WT6F","WT601","WT602","WT603","WT604","WT605","WT606","WT607","WT608","WT609","WT610","WT611","WT612"
"1",2021,2022,2659700,1251200,65972512,2,2,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,230,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,1,0,0,0,0,0,0,0,1,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2021,2022,2659700,1251300,65972513,4,4,4,3,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,10,1291,1,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,315,0,0,0,0,3,0,0,0,0,0,0,0,4,526,0,0,0,0,3,0,0,1,0,0,0,0,2,398,1,0,0,0,0,0,0,1,0,0,0,0
"3",2021,2022,2659700,1251400,65972514,12,11,11,9,2,0,1,0,3,0,0,3,0,2,0,0,3,0,1,0,0,10,2,0,0,0,0,0,0,3,0,8,0,1,0,0,0,0,0,0,0,4,4,0,1,0,0,3,0,0,3,0,7,2,0,0,0,0,0,0,0,3,4,0,2,0,0,3,0,0,0,10,2,0,0,0,0,0,0,14,2115,4,0,0,4,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,384,1,0,0,3,0,0,0,0,0,0,0,0,5,836,1,0,0,0,0,1,0,0,3,0,0,0,4,850,1,0,0,1,0,1,0,0,0,0,1,0
"4",2021,2022,2659700,1251500,65972515,7,7,7,4,3,0,0,0,2,0,0,0,0,1,0,1,0,0,1,2,0,3,3,1,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,3,0,0,1,0,2,3,0,0,1,0,0,0,0,0,1,1,3,0,0,1,1,0,0,4,0,1,1,0,0,0,1,21,2151,5,0,0,0,0,10,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,135,0,0,0,0,0,3,0,0,0,0,0,0,9,782,1,0,0,0,0,6,0,0,0,0,2,0,5,603,3,0,0,0,0,1,0,0,0,0,1,0,3,431,1,0,0,0,0,0,0,0,0,0,0,2,1,200,0,0,0,0,0,0,0,1,0,0,0,0
"5",2021,2022,2659700,1251600,65972516,8,8,8,7,1,0,0,0,0,0,3,0,3,1,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,5,3,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,7,0,0,0,0,0,1,0,14,1494,0,0,3,0,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,510,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,714,0,0,1,0,3,0,0,0,1,0,0,0,2,270,0,0,2,0,0,0,0,0,0,0,0,0
"6",2021,2022,2659700,1251700,65972517,7,7,7,7,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,1084,0,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,584,0,0,2,0,1,1,0,0,0,0,0,1,2,500,0,0,2,0,0,0,0,0,0,0,0,0
"7",2021,2022,2659700,1255900,65972559,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2021,2022,2659700,1256000,65972560,3,3,2,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,5,630,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,450,2,0,0,0,1,0,0,0,0,0,0,0
"9",2021,2022,2659700,1258500,65972585,5,5,5,4,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,4,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,7,830,0,1,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0,0,0,0,0,0,0,0,0,0,1,4,510,0,1,0,0,0,1,0,0,0,0,0,2,1,95,0,0,0,0,0,0,0,0,1,0,0,0,1,150,0,0,1,0,0,0,0,0,0,0,0,0
"10",2021,2022,2659700,1258600,65972586,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,480,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,180,0,0,0,0,0,0,0,0,0,0,0,2,2,300,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2021,2022,2659700,1258700,65972587,16,16,15,11,4,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,11,4,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,1,0,12,3,0,0,0,0,0,0,0,12,0,0,3,0,0,1,0,0,0,12,0,0,0,0,4,0,0,36,3571,0,0,0,0,0,36,0,0,0,0,0,0,4,148,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,569,0,0,0,0,0,8,0,0,0,0,0,0,9,820,0,0,0,0,0,9,0,0,0,0,0,0,12,1518,0,0,0,0,0,12,0,0,0,0,0,0,3,516,0,0,0,0,0,3,0,0,0,0,0,0
"12",2021,2022,2659700,1259000,65972590,7,7,5,0,5,2,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,19,1390,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1230,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,1,0,0,0,0,0,0,0,0,0,0,0
