"","Gemeinde","E_KOORD","N_KOORD","RELI","B21BTOT","B20BTOT","B19BTOT","B18BTOT","B17BTOT","B16BTOT","B15BTOT","B14BTOT","B13BTOT","B12BTOT","B11BTOT"
"1","Bergdietikon",2671600,1249800,67162498,13,14,15,18,18,17,15,12,13,11,12
"2","Bergdietikon",2671600,1249700,67162497,30,27,25,26,26,26,26,33,32,33,35
"3","Bergdietikon",2671600,1249600,67162496,9,9,10,11,11,11,12,6,6,6,7
"4","Bergdietikon",2671600,1249400,67162494,15,14,13,13,11,16,15,11,11,15,9
"5","Bergdietikon",2671600,1249200,67162492,19,5,3,7,9,8,8,12,14,10,9
"6","Bergdietikon",2671600,1249100,67162491,44,41,38,35,35,37,33,31,26,26,28
"7","Bergdietikon",2671600,1249000,67162490,24,27,29,28,22,23,22,21,25,38,23
"8","Bergdietikon",2671500,1249800,67152498,3,3,3,3,3,3,4,5,5,6,8
"9","Bergdietikon",2671500,1249700,67152497,18,18,18,18,17,16,18,17,17,17,16
"10","Bergdietikon",2671500,1249300,67152493,14,14,13,15,15,16,16,17,16,18,18
"11","Bergdietikon",2671500,1249200,67152492,33,37,36,38,41,40,37,42,42,36,36
"12","Bergdietikon",2671500,1249100,67152491,29,29,28,26,30,22,24,26,26,31,32
"13","Bergdietikon",2671500,1249000,67152490,28,30,28,25,26,29,31,29,22,24,26
"14","Spreitenbach",2671400,1253500,67142535,5,5,7,7,7,7,6,7,6,6,5
"15","Spreitenbach",2671400,1251100,67142511,3,3,3,3,3,3,3,3,3,3,3
"16","Bergdietikon",2671400,1249700,67142497,3,3,3,3,3,3,3,3,3,3,3
"17","Bergdietikon",2671400,1249300,67142493,8,6,8,8,8,8,8,8,8,8,8
"18","Bergdietikon",2671400,1249200,67142492,35,37,37,36,36,36,35,28,32,31,31
"19","Bergdietikon",2671400,1249100,67142491,17,17,17,17,17,17,17,19,20,23,23
"20","Bergdietikon",2671400,1249000,67142490,14,13,11,11,12,11,11,12,12,13,13
"21","Würenlos",2671300,1256500,67132565,57,56,59,59,57,58,48,49,49,50,18
"22","Würenlos",2671300,1256400,67132564,88,87,82,77,77,77,86,87,82,84,20
"23","Würenlos",2671300,1256300,67132563,18,18,20,20,20,19,18,19,16,12,5
"24","Bergdietikon",2671300,1249600,67132496,3,3,3,3,3,3,3,4,4,4,4
"25","Bergdietikon",2671300,1249500,67132495,9,9,7,10,7,9,8,8,8,8,8
"26","Bergdietikon",2671300,1249200,67132492,12,12,9,11,13,14,15,12,11,13,14
"27","Bergdietikon",2671300,1249100,67132491,24,23,23,23,24,25,25,24,18,16,19
"28","Bergdietikon",2671300,1249000,67132490,7,7,7,7,6,5,5,5,5,7,7
"29","Würenlos",2671200,1256500,67122565,36,36,36,38,38,37,37,36,36,31,29
"30","Würenlos",2671200,1256400,67122564,43,43,43,43,43,40,39,40,39,39,35
"31","Spreitenbach",2671200,1251400,67122514,7,4,4,3,3,3,3,4,4,3,3
"32","Spreitenbach",2671200,1251300,67122513,5,3,6,6,5,7,4,9,3,3,3
"33","Spreitenbach",2671200,1250800,67122508,4,8,9,10,9,7,6,6,6,6,6
"34","Bergdietikon",2671200,1249800,67122498,4,4,4,4,4,4,4,4,4,3,3
"35","Bergdietikon",2671200,1249700,67122497,26,24,24,24,23,25,25,21,22,22,22
"36","Spreitenbach",2671100,1252000,67112520,13,12,8,11,11,11,10,10,11,11,10
"37","Spreitenbach",2671100,1250900,67112509,3,3,3,3,3,3,3,3,3,3,3
"38","Bergdietikon",2671100,1249800,67112498,21,20,20,20,21,22,22,22,20,21,19
"39","Bergdietikon",2671100,1249700,67112497,32,31,28,28,29,28,30,41,41,41,42
"40","Bergdietikon",2671100,1249600,67112496,10,10,7,7,9,9,8,8,9,9,9
"41","Bergdietikon",2671000,1250000,67102500,3,3,3,3,3,3,3,3,3,3,3
"42","Bergdietikon",2671000,1249900,67102499,5,5,5,5,5,6,6,6,6,6,6
"43","Bergdietikon",2671000,1249800,67102498,27,28,31,29,29,30,29,27,26,28,25
"44","Bergdietikon",2671000,1249700,67102497,23,30,30,31,34,32,29,28,29,29,28
"45","Bergdietikon",2671000,1249600,67102496,23,20,20,23,25,25,23,19,19,24,22
"46","Würenlos",2670900,1255700,67092557,3,3,3,3,3,3,3,3,3,3,3
"47","Spreitenbach",2670900,1252200,67092522,10,10,10,10,10,10,10,10,10,10,10
"48","Bergdietikon",2670900,1250100,67092501,3,3,3,3,3,3,3,3,3,3,3
"49","Bergdietikon",2670900,1250000,67092500,16,16,16,18,12,11,14,12,14,15,16
"50","Bergdietikon",2670900,1249900,67092499,42,39,40,40,41,41,42,43,42,41,42
"51","Bergdietikon",2670900,1249800,67092498,38,35,35,36,34,41,41,40,26,18,23
"52","Bergdietikon",2670900,1249700,67092497,21,26,26,27,28,25,26,24,22,22,22
"53","Bergdietikon",2670900,1249600,67092496,26,14,14,15,16,16,15,19,19,19,19
"54","Bergdietikon",2670900,1249500,67092495,8,10,10,10,10,10,10,10,10,9,9
"55","Bergdietikon",2670900,1249400,67092494,3,3,3,3,3,3,3,3,3,3,3
"56","Bergdietikon",2670900,1249100,67092491,13,13,12,11,11,11,11,10,9,9,9
"57","Würenlos",2670800,1255800,67082558,11,11,11,10,10,11,10,10,10,10,10
"58","Würenlos",2670800,1255700,67082557,5,3,3,4,4,7,7,7,3,3,3
"59","Spreitenbach",2670800,1252200,67082522,108,108,108,108,108,108,108,108,108,108,108
"60","Spreitenbach",2670800,1252100,67082521,39,39,39,39,39,39,39,39,39,39,39
"61","Bergdietikon",2670800,1250100,67082501,25,25,25,23,25,25,28,24,22,21,23
"62","Bergdietikon",2670800,1250000,67082500,43,46,47,51,51,48,49,48,41,39,41
"63","Bergdietikon",2670800,1249900,67082499,22,30,34,35,35,35,35,31,31,30,31
"64","Bergdietikon",2670800,1249800,67082498,26,23,25,25,25,25,26,28,28,25,26
"65","Bergdietikon",2670800,1249700,67082497,60,49,25,16,12,12,12,13,11,7,8
"66","Bergdietikon",2670800,1249600,67082496,40,42,45,44,43,45,39,37,38,41,41
"67","Bergdietikon",2670800,1249500,67082495,23,24,24,23,22,22,22,22,20,19,19
"68","Bergdietikon",2670800,1249400,67082494,13,11,12,12,11,11,9,11,11,11,12
"69","Würenlos",2670700,1255800,67072558,3,3,3,3,3,3,3,3,3,3,3
"70","Würenlos",2670700,1255700,67072557,26,24,23,24,23,26,25,25,27,27,27
"71","Würenlos",2670700,1255600,67072556,3,3,3,3,3,3,3,3,3,5,4
"72","Würenlos",2670700,1255000,67072550,4,4,5,4,4,6,6,5,5,5,5
"73","Spreitenbach",2670700,1252800,67072528,6,6,6,6,6,6,6,6,6,6,6
"74","Spreitenbach",2670700,1252200,67072522,205,205,205,205,205,205,205,205,205,205,205
"75","Spreitenbach",2670700,1252100,67072521,69,276,272,240,254,70,72,47,37,37,31
"76","Spreitenbach",2670700,1252000,67072520,6,5,3,5,6,8,7,11,8,9,4
"77","Bergdietikon",2670700,1250200,67072502,6,4,4,4,4,3,3,3,5,3,3
"78","Bergdietikon",2670700,1250100,67072501,56,55,57,62,58,52,46,45,42,38,40
"79","Bergdietikon",2670700,1250000,67072500,25,24,24,23,22,19,18,22,24,19,18
"80","Bergdietikon",2670700,1249900,67072499,25,27,28,22,22,22,22,20,22,21,22
"81","Bergdietikon",2670700,1249800,67072498,37,43,42,41,39,37,37,39,36,36,35
"82","Bergdietikon",2670700,1249700,67072497,57,49,38,44,47,47,45,48,48,48,45
"83","Bergdietikon",2670700,1249600,67072496,13,13,15,15,15,16,16,10,10,9,9
"84","Bergdietikon",2670700,1249500,67072495,6,7,7,7,7,7,7,7,7,7,7
"85","Bergdietikon",2670700,1249400,67072494,9,10,10,9,10,9,9,8,8,11,11
"86","Spreitenbach",2670600,1252400,67062524,74,74,74,74,74,74,74,74,74,74,74
"87","Spreitenbach",2670600,1252200,67062522,84,91,94,88,86,88,87,89,65,68,63
