"","Haltestellen_No_2023","Y_Koord_2023","X_Koord_2023","Name","Bahnknoten_2023","Bahnlinie_Anz_2023","TramBus_Anz_2023","Seilbahn_Anz_2023","A_Intervall_2023","B_Intervall_2023","Hst_Kat_2023","Haltestellen_No_2022","Y_Koord_2022","X_Koord_2022","Bahnknoten_2022","Bahnlinie_Anz_2022","TramBus_Anz_2022","Seilbahn_Anz_2022","A_Intervall_2022","B_Intervall_2022","Hst_Kat_2022","Haltestellen_No_2021","Y_Koord_2021","X_Koord_2021","Bahnknoten_2021","Bahnlinie_Anz_2021","TramBus_Anz_2021","Seilbahn_Anz_2021","A_Intervall_2021","B_Intervall_2021","Hst_Kat_2021","Haltestellen_No_2020","Y_Koord_2020","X_Koord_2020","Bahnknoten_2020","Bahnlinie_Anz_2020","TramBus_Anz_2020","Seilbahn_Anz_2020","A_Intervall_2020","B_Intervall_2020","Hst_Kat_2020","Haltestellen_No_2019","Y_Koord_2019","X_Koord_2019","Bahnknoten_2019","Bahnlinie_Anz_2019","TramBus_Anz_2019","Seilbahn_Anz_2019","A_Intervall_2019","B_Intervall_2019","Hst_Kat_2019","Haltestellen_No_2018","Y_Koord_2018","X_Koord_2018","Bahnknoten_2018","Bahnlinie_Anz_2018","TramBus_Anz_2018","Seilbahn_Anz_2018","A_Intervall_2018","B_Intervall_2018","Hst_Kat_2018","Haltestellen_No_2017","Y_Koord_2017","X_Koord_2017","Bahnknoten_2017","Bahnlinie_Anz_2017","TramBus_Anz_2017","Seilbahn_Anz_2017","A_Intervall_2017","B_Intervall_2017","Hst_Kat_2017","Haltestellen_No_2016","Y_Koord_2016","X_Koord_2016","Bahnknoten_2016","Bahnlinie_Anz_2016","TramBus_Anz_2016","Seilbahn_Anz_2016","A_Intervall_2016","B_Intervall_2016","Hst_Kat_2016","Haltestellen_No_2015","Y_Koord_2015","X_Koord_2015","Bahnknoten_2015","Bahnlinie_Anz_2015","TramBus_Anz_2015","Seilbahn_Anz_2015","A_Intervall_2015","B_Intervall_2015","Hst_Kat_2015","Haltestellen_No_2014","Y_Koord_2014","X_Koord_2014","Bahnknoten_2014","Bahnlinie_Anz_2014","TramBus_Anz_2014","Seilbahn_Anz_2014","A_Intervall_2014","B_Intervall_2014","Hst_Kat_2014","Haltestellen_No_2013","Y_Koord_2013","X_Koord_2013","Bahnknoten_2013","Bahnlinie_Anz_2013","TramBus_Anz_2013","Seilbahn_Anz_2013","A_Intervall_2013","B_Intervall_2013","Hst_Kat_2013"
"1",8500555,2659907.98,1261596.2,"Lauffohr, Dorf",0,0,128,0,0,13.13,4,8500555,2659907.98,1261596.2,0,0,128,0,0,13.13,4,8500555,2659907.97578751,1261596.19661337,0,0,128,0,0,13.13,4,8500555,2659907.97578751,1261596.19661337,0,0,128,0,0,13.13,4,8500555,2659907.97578751,1261596.19661337,0,0,98,0,0,17.14,4,8500555,2659907.97578751,1261596.19661337,0,0,98,0,0,17.14,4,8500555,2659908.88028681,1261596.0706079,0,0,97,0,0,17.32,4,8500555,2659908.88028681,1261596.0706079,0,0,98,0,0,17.14,4,8500555,2659908.88028681,1261596.0706079,0,0,98,0,0,17.14,4,8500555,2659908.90228763,1261596.09620751,0,0,84,0,0,0,5,8500555,2659908.22489146,1261547.9492466,0,0,84,0,0,20,5
"2",8500566,2659726.29,1263030.86,"Stilli, Villigerstrasse",0,0,56,0,0,30,5,8500566,2659722.88,1263040.27,0,0,56,0,0,30,5,8500566,2659722.87634714,1263040.272593,0,0,56,0,0,30,5,8500566,2659722.87634714,1263040.272593,0,0,56,0,0,30,5,8500566,2659722.87634714,1263040.272593,0,0,56,0,0,30,5,8500566,2659722.87634714,1263040.272593,0,0,56,0,0,30,5,8500566,2659723.9598541,1263040.15217767,0,0,56,0,0,30,5,8500566,2659723.9598541,1263040.15217767,0,0,56,0,0,30,5,8500566,2659723.9598541,1263040.15217767,0,0,56,0,0,30,5,8500566,2659723.9306031,1263040.10037762,0,0,56,0,0,0,5,8500566,2659724.27560362,1263039.94717178,0,0,56,0,0,30,5
"3",8502106,2660112.07,1251826.82,"Mägenwil",0,50,0,0,33.6,0,4,8502106,2660112.07,1251826.82,0,50,0,0,33.6,0,4,8502106,2660112.07215312,1251826.82468145,0,50,0,0,33.6,0,4,8502106,2660112.00440693,1251833.49528909,0,42,0,0,40,0,5,8502106,2660110.65289203,1251832.81450537,0,40,0,0,42,0,5,8502106,2660110.65289203,1251832.81450537,0,40,0,0,42,0,5,8502106,2660111.88540063,1251826.09268305,0,34,0,0,49.41,0,5,8502106,2660111.88540063,1251826.09268305,0,36,0,0,46.67,0,5,8502106,2660111.88540063,1251826.09268305,0,38,0,0,44.21,0,5,8502106,2660111.86190035,1251826.05688331,0,34,0,0,49.41,0,5,8502106,2660112.20665394,1251825.92527884,0,34,0,0,49.41,0,5
"4",8502561,2661911.3,1252098.76,"Büblikon, Rössli",0,0,56,0,0,30,5,8502561,2661911.3,1252098.76,0,0,54,0,0,31.11,5,8502561,2661911.29789306,1252098.7570535,0,0,54,0,0,31.11,5,8502561,2661911.29789306,1252098.7570535,0,0,54,0,0,31.11,5,8502561,2661911.29789306,1252098.7570535,0,0,54,0,0,31.11,5,8502561,2661911.29789306,1252098.7570535,0,0,54,0,0,31.11,5,8502561,2661911.88215168,1252099.00684678,0,0,54,0,0,31.11,5,8502561,2661911.88215168,1252099.00684678,0,0,54,0,0,31.11,5,8502561,2661911.88215168,1252099.00684678,0,0,54,0,0,31.11,5,8502561,2661911.88840176,1252099.03044687,0,0,54,0,0,0,5,8502561,2661896.24743515,1252067.8832336,0,0,53,0,0,31.7,5
"5",8502690,2664701.81,1257861.26,"Baden, Sonnmatt",0,0,275,0,0,6.11,3,8502690,2664701.81,1257861.26,0,0,275,0,0,6.11,3,8502690,2664701.81309312,1257861.26061794,0,0,276,0,0,6.09,3,8502690,2664656.8199981,1257887.12134896,0,0,276,0,0,6.09,3,8502690,2664849.69407069,1257900.01768469,0,0,275,0,0,6.11,3,8502690,2664849.69407069,1257900.01768469,0,0,275,0,0,6.11,3,8502690,2664850.92557577,1257900.04807142,0,0,275,0,0,6.11,3,8502690,2664850.92557577,1257900.04807142,0,0,275,0,0,6.11,3,8502690,2664657.90100219,1257887.04093712,0,0,275,0,0,6.11,3,8502690,2664850.92982571,1257900.02707133,0,0,275,0,0,6.11,3,8502690,2664851.27732656,1257899.86206729,0,0,274,0,0,6.13,3
"6",8502700,2664173.02,1251782.14,"Niederrohrdorf, Holzrüti",0,0,41,0,0,40.98,5,8502700,2664173.02,1251782.14,0,0,41,0,0,40.98,5,8502700,2664173.01822455,1251782.143425,0,0,41,0,0,40.98,5,8502700,2664173.01822455,1251782.143425,0,0,41,0,0,40.98,5,8502700,2664173.01822455,1251782.143425,0,0,39,0,0,43.08,5,8502700,2664173.01822455,1251782.143425,0,0,39,0,0,43.08,5,8502700,2664173.93422194,1251782.02141182,0,0,38,0,0,44.21,5,8502700,2664173.93422194,1251782.02141182,0,0,39,0,0,43.08,5,8502700,2664173.93422194,1251782.02141182,0,0,39,0,0,43.08,5,8502700,2664173.91497171,1251781.98921217,0,0,38,0,0,0,5,8502700,2664161.28957514,1251791.81677506,0,0,38,0,0,44.21,5
"7",8502706,2662100.88,1252638.01,"Büblikon, Reusstal",0,0,55,0,0,30.55,5,8502706,2662100.88,1252638.01,0,0,54,0,0,31.11,5,8502706,2662100.88392467,1252638.01049135,0,0,54,0,0,31.11,5,8502706,2662100.88392467,1252638.01049135,0,0,54,0,0,31.11,5,8502706,2662100.88392467,1252638.01049135,0,0,54,0,0,31.11,5,8502706,2662100.88392467,1252638.01049135,0,0,54,0,0,31.11,5,8502706,2662101.92594029,1252638.04387611,0,0,54,0,0,31.11,5,8502706,2662101.92594029,1252638.04387611,0,0,54,0,0,31.11,5,8502706,2662101.92594029,1252638.04387611,0,0,54,0,0,31.11,5,8502706,2662101.89093977,1252638.03187653,0,0,54,0,0,0,5,8502706,2662108.24828061,1252645.88424396,0,0,53,0,0,31.7,5
"8",8502707,2663176.68,1253402.26,"Mellingen Heitersberg, Bahnhof",0,0,333,0,0,5.05,3,8502707,2663176.68,1253402.26,0,0,333,0,0,5.05,3,8502707,2663176.6820738,1253402.25657971,0,0,333,0,0,5.05,3,8502707,2663176.6820738,1253402.25657971,0,0,333,0,0,5.05,3,8502707,2663176.6820738,1253402.25657971,0,0,323,0,0,5.2,3,8502707,2663176.6820738,1253402.25657971,0,0,323,0,0,5.2,3,8502707,2663177.89284201,1253402.05234852,0,0,301,0,0,5.58,3,8502707,2663177.89284201,1253402.05234852,0,0,307,0,0,5.47,3,8502707,2663177.89284201,1253402.05234852,0,0,307,0,0,5.47,3,8502707,2663177.90659224,1253402.01494805,0,0,296,0,0,5.68,3,8502707,2663131.26766138,1253376.85484063,0,0,301,0,0,5.58,3
"9",8502750,2668310.16,1249138.38,"Bellikon, Dorf",0,0,122,0,0,13.77,4,8502750,2668310.16,1249138.38,0,0,115,0,0,14.61,4,8502750,2668310.16383999,1249138.38259937,0,0,115,0,0,14.61,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",8502753,2664369.96,1249006.99,"Nesselnbach, Mitteldorf",0,0,94,0,0,17.87,4,8502753,2664369.96,1249006.99,0,0,95,0,0,17.68,4,8502753,2664369.96045893,1249006.98831962,0,0,94,0,0,17.87,4,8502753,2664369.96045893,1249006.98831962,0,0,95,0,0,17.68,4,8502753,2664369.96045893,1249006.98831962,0,0,91,0,0,18.46,4,8502753,2664369.96045893,1249006.98831962,0,0,91,0,0,18.46,4,8502753,2664370.92070978,1249006.95970593,0,0,89,0,0,18.88,4,8502753,2664370.92070978,1249006.95970593,0,0,91,0,0,18.46,4,8502753,2664370.92070978,1249006.95970593,0,0,91,0,0,18.46,4,8502753,2664370.88470988,1249006.97070652,0,0,88,0,0,19.09,4,8502753,2664377.24557872,1249015.79668507,0,0,88,0,0,19.09,4
