Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8014439;2616053.2323486223;1270295.123552026;Riehen;0;56;0;0;30;0;4
8014482;2676986.6152001196;1281482.5799820602;Wilchingen-Hallau;0;56;0;0;30;0;4
8014483;2679338.957530518;1282593.244783961;Neunkirch;0;56;0;0;30;0;4
8014484;2685277.7449181634;1283314.9922837892;Beringen Bad Bf;0;77;0;0;21.82;0;4
8014485;2688118.1416582097;1281990.9601594985;Neuhausen Bad Bf;0;76;0;0;22.11;0;4
8014487;2691958.067963284;1285873.9982286356;Herblingen;0;98;0;0;17.14;0;3
8014488;2674975.0097122896;1279876.562285363;Trasadingen;0;56;0;0;30;0;4
8014490;2694921.1546508903;1289089.9820026867;Thayngen;0;70;0;0;24;0;4
8060978;2614899.9945621337;1270699.6238155374;Weil am Rhein Gartenstadt;0;56;0;0;30;0;4
8060979;2615600.1095674713;1270700.0913380792;Weil am Rhein Pfädlistrasse;0;56;0;0;30;0;4
8087021;2614660.135185905;1268769.9915220102;Riehen Niederholz;0;56;0;0;30;0;4
8101243;2756861.9537855997;1226215.852791253;Schaan-Vaduz;0;8;0;0;210;0;0
8500010;2611362.680791011;1266309.9305175531;Basel SBB;1;508;0;0;3.31;0;1
8500016;2610076.1924857497;1268852.7252207343;Basel St. Johann;0;40;0;0;42;0;5
8500020;2615758.3814931754;1264783.2398665256;Muttenz;0;126;0;0;13.33;0;3
8500021;2618994.2840057616;1263578.1049736382;Pratteln;1;125;0;0;13.44;0;2
8500022;2621133.1232516263;1261228.1672453568;Frenkendorf-Füllinsdorf;0;60;0;0;28;0;4
8500023;2622064.0413045706;1259340.6017686732;Liestal;1;144;78;0;11.67;21.54;2
8500024;2624210.630743659;1257779.359339009;Lausen;0;58;0;0;28.97;0;4
8500025;2626282.4738278165;1257447.2859194048;Itingen;0;59;0;0;28.47;0;4
8500026;2628154.7658686503;1256952.765776237;Sissach;1;148;0;0;11.35;0;2
8500027;2630839.8844675603;1257315.2575083207;Gelterkinden;0;86;0;0;19.53;0;3
8500028;2633865.2292757537;1255093.0345767275;Tecknau;0;56;0;0;30;0;4
8500031;2630099.3788934173;1255495.4422823698;Diepflingen;0;32;0;0;52.5;0;5
8500032;2631143.439627718;1254328.9359583722;Sommerau;0;32;0;0;52.5;0;5
8500033;2631080.2571453475;1252811.6999173425;Rümlingen;0;32;0;0;52.5;0;5
8500034;2630883.004041625;1250988.6805603746;Buckten;0;32;0;0;52.5;0;5
8500035;2631529.5997210345;1249118.0682147387;Läufelfingen;0;32;0;0;52.5;0;5
8500037;2635174.6087198174;1246238.4342661097;Trimbach;0;30;0;0;56;0;5
8500051;2611345.873300602;1260244.5092567205;Reinach BL, Dorf;0;0;466;0;0;3.61;2
