RELI;GMDE;HIST_GMDE;E_KOORD;N_KOORD;B21BTOT;B21B11;B21B12;B21B13;B21B14;B21B15;B21B16;B21B21;B21B22;B21B23;B21B24;B21B25;B21B26;B21B27;B21B28;B21B29;B21B30;B21BMTOT;B21BM01;B21BM02;B21BM03;B21BM04;B21BM05;B21BM06;B21BM07;B21BM08;B21BM09;B21BM10;B21BM11;B21BM12;B21BM13;B21BM14;B21BM15;B21BM16;B21BM17;B21BM18;B21BM19;B21BWTOT;B21BW01;B21BW02;B21BW03;B21BW04;B21BW05;B21BW06;B21BW07;B21BW08;B21BW09;B21BW10;B21BW11;B21BW12;B21BW13;B21BW14;B21BW15;B21BW16;B21BW17;B21BW18;B21BW19;B21B41;B21B42;B21B43;B21B44;B21B45;B21B46;B21B51;B21B52;B21B53;B21B54;B21B55;B21B56;H21PTOT;H21P01;H21P02;H21P03;H21P04;H21P05;H21P06;H21PI
48671120;6611;11439;2486700;1112000;18;10;8;6;1;1;0;9;0;8;1;0;9;3;3;3;0;12;0;3;1;0;0;0;0;2;2;0;0;2;1;1;0;0;0;0;0;6;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;5;7;4;2;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0
48861169;6620;11582;2488600;1116900;15;4;11;8;2;1;0;2;0;2;0;0;13;10;1;2;0;12;0;0;0;0;1;0;1;2;3;2;1;1;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;4;3;8;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0
48901142;6603;11664;2489000;1114200;14;4;10;8;1;1;0;5;0;5;0;0;9;6;1;2;0;9;0;0;1;0;1;0;0;1;0;1;2;2;0;0;1;0;0;0;0;5;0;0;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;1;2;10;1;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
48961113;6604;11665;2489600;1111300;4;2;2;1;0;1;0;1;0;1;0;0;3;2;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
49001161;6637;12872;2490000;1116100;6;2;4;1;0;3;0;1;0;0;1;0;5;2;0;3;0;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;0;2;4;0;0;0;0;2;1;0;0;1;0;0;0;1
49041146;6609;11411;2490400;1114600;8;4;4;3;0;1;0;4;0;4;0;0;4;2;0;2;0;6;1;0;0;0;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;2;2;1;0;0;5;3;0;0;0;0;1;0;0;1;0;0;0;1
49151191;6638;13051;2491500;1119100;57;22;35;27;6;2;0;24;0;22;2;0;33;27;3;3;0;41;1;0;0;0;1;2;4;5;4;5;5;7;3;3;0;1;0;0;0;16;1;2;1;0;1;0;1;2;0;1;2;0;3;0;0;2;0;0;0;6;18;12;20;1;0;51;6;0;0;0;0;0;0;0;0;0;0;0;0
49171126;6627;12575;2491700;1112600;12;10;2;1;1;0;0;8;0;6;2;0;4;2;1;1;0;5;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;7;1;1;0;1;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;1;8;0;2;1;0;11;0;0;0;1;0;2;0;0;0;2;0;0;1
49221113;6639;10414;2492200;1111300;5;2;3;3;0;0;0;0;0;0;0;0;5;4;0;1;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;4;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
49231164;6601;11726;2492300;1116400;4;2;2;2;0;0;0;0;0;0;0;0;4;3;0;1;0;3;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
