RELI,GDENR,X_KOORD,Y_KOORD,E_KOORD,N_KOORD,B11BTOT,B11B11,B11B12,B11B13,B11B14,B11B15,B11B16,B11B21,B11B22,B11B23,B11B24,B11B25,B11B26,B11B27,B11B28,B11B29,B11B30,B11BMTOT,B11BM01,B11BM02,B11BM03,B11BM04,B11BM05,B11BM06,B11BM07,B11BM08,B11BM09,B11BM10,B11BM11,B11BM12,B11BM13,B11BM14,B11BM15,B11BM16,B11BM17,B11BM18,B11BM19,B11BWTOT,B11BW01,B11BW02,B11BW03,B11BW04,B11BW05,B11BW06,B11BW07,B11BW08,B11BW09,B11BW10,B11BW11,B11BW12,B11BW13,B11BW14,B11BW15,B11BW16,B11BW17,B11BW18,B11BW19,B11B41,B11B42,B11B43,B11B44,B11B45,B11B46,B11B51,B11B52,B11B53,B11B54,B11B55,B11B56
67932357,1,679300,235700,2679300,1235700,4,4,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,4,0,0,0,0,0
67682368,2,676800,236800,2676800,1236800,49,33,16,8,3,5,0,30,7,15,7,1,19,8,2,7,2,29,0,0,3,0,1,2,4,1,2,1,4,6,0,3,1,1,0,0,0,20,2,1,1,1,0,2,0,0,1,3,1,1,2,1,1,2,0,0,1,0,13,8,22,6,0,48,0,0,0,1,0
67782410,3,677800,241000,2677800,1241000,5,5,0,0,0,0,0,5,1,3,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,5,0,0,0,0,0
68292331,4,682900,233100,2682900,1233100,20,20,0,0,0,0,0,18,2,10,6,0,2,0,1,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,16,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,4,4,3,0,2,1,14,3,0,20,0,0,0,0,0
67642390,5,676400,239000,2676400,1239000,13,12,1,1,0,0,0,12,0,10,2,0,1,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,1,10,1,0,13,0,0,0,0,0
67752309,7,677500,230900,2677500,1230900,12,12,0,0,0,0,0,12,0,4,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,2,0,0,0,12,0,0,12,0,0,0,0,0
67482320,8,674800,232000,2674800,1232000,4,4,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,3,0,0,0,0,1
67762330,9,677600,233000,2677600,1233000,9,9,0,0,0,0,0,9,1,5,3,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,6,0,0,9,0,0,0,0,0
67512353,10,675100,235300,2675100,1235300,44,37,7,6,0,1,0,32,1,17,14,0,12,10,0,2,0,21,3,0,1,1,1,2,0,1,1,4,0,2,0,1,0,0,1,3,0,23,0,1,0,1,0,0,2,1,1,1,1,1,0,1,1,0,3,4,5,3,7,6,22,6,0,40,2,0,1,1,0
67302372,11,673000,237200,2673000,1237200,17,17,0,0,0,0,0,17,2,8,6,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,1,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,4,0,0,2,10,5,0,17,0,0,0,0,0
