RELI,GDENR,X_KOORD,Y_KOORD,E_KOORD,N_KOORD,B16BTOT,B16B11,B16B12,B16B13,B16B14,B16B15,B16B16,B16B21,B16B22,B16B23,B16B24,B16B25,B16B26,B16B27,B16B28,B16B29,B16B30,B16BMTOT,B16BM01,B16BM02,B16BM03,B16BM04,B16BM05,B16BM06,B16BM07,B16BM08,B16BM09,B16BM10,B16BM11,B16BM12,B16BM13,B16BM14,B16BM15,B16BM16,B16BM17,B16BM18,B16BM19,B16BWTOT,B16BW01,B16BW02,B16BW03,B16BW04,B16BW05,B16BW06,B16BW07,B16BW08,B16BW09,B16BW10,B16BW11,B16BW12,B16BW13,B16BW14,B16BW15,B16BW16,B16BW17,B16BW18,B16BW19,B16B41,B16B42,B16B43,B16B44,B16B45,B16B46,B16B51,B16B52,B16B53,B16B54,B16B55,B16B56,H16PTOT,H16P01,H16P02,H16P03,H16P04,H16P05,H16P06,H16PI
67932357,1,679300,235700,2679300,1235700,8,7,1,1,0,0,0,8,1,5,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,2,1,5,0,0,8,0,0,0,0,0,,,,,,,,
67682368,2,676800,236800,2676800,1236800,70,43,27,7,4,16,0,41,16,15,10,0,29,9,5,14,1,47,0,0,0,10,0,8,2,5,4,5,5,2,5,0,1,0,0,0,0,23,0,1,2,4,1,2,2,0,0,2,2,1,1,2,1,1,1,0,0,8,21,14,19,6,2,63,4,1,2,0,0,2,1,0,1,0,0,0,1
67782410,3,677800,241000,2677800,1241000,17,16,1,1,0,0,0,14,1,10,3,0,3,2,0,1,0,7,0,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,1,0,10,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,2,1,2,0,2,2,12,1,0,17,0,0,0,0,0,,,,,,,,
68292331,4,682900,233100,2682900,1233100,23,23,0,0,0,0,0,21,1,12,8,0,2,1,1,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,18,0,0,1,0,0,1,0,0,0,2,3,1,0,0,0,2,2,4,2,0,1,2,15,5,0,23,0,0,0,0,0,,,,,,,,
67642390,5,676400,239000,2676400,1239000,15,13,2,2,0,0,0,12,0,7,5,0,3,3,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,3,9,0,0,15,0,0,0,0,0,,,,,,,,
68242313,6,682400,231300,2682400,1231300,7,7,0,0,0,0,0,6,1,2,3,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,7,0,0,7,0,0,0,0,0,,,,,,,,
67752309,7,677500,230900,2677500,1230900,8,5,3,2,1,0,0,5,0,4,1,0,3,2,1,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,0,0,5,1,0,6,0,0,2,0,0,,,,,,,,
67482320,8,674800,232000,2674800,1232000,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,
67762330,9,677600,233000,2677600,1233000,18,14,4,0,0,3,1,13,0,9,4,0,5,1,0,4,0,8,0,0,0,1,0,0,1,1,1,0,1,1,0,0,2,0,0,0,0,10,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,2,2,0,4,3,9,2,0,18,0,0,0,0,0,,,,,,,,
67512353,10,675100,235300,2675100,1235300,50,25,25,1,0,23,1,23,2,13,7,1,27,4,0,23,0,22,1,0,0,7,2,2,1,2,1,0,2,0,0,1,0,0,2,1,0,28,1,0,0,2,4,1,0,1,0,0,1,2,2,0,1,0,3,4,6,11,12,0,23,4,0,38,7,1,1,1,2,,,,,,,,
