Gemeinde,,,,Average Rent per m2/year for a house,,,,,Average Rent per m2/year for an appartement,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Increase in prices in the last 10 years in %,,,,,,,,,
,,,,2023,,,,,2023,,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
,,,,,,,,,,,,,,,,,,,,
Baden,,,,CHF 247,,,,,CHF 335,,75%,55%,52%,51%,50%,45%,40%,35%,30%,25%
Bellikon,,,,NA,,,,,CHF 228,,75%,48%,45%,40%,40%,35%,33%,30%,28%,26%
Bergdietikon,,,,CHF 253,,,,,CHF 309,,76%,55%,50%,50%,48%,38%,35%,30%,32%,27%
Birmenstorf,,,,CHF 255,,,,,CHF 223,,50%,38%,37%,35%,31%,28%,25%,22%,20%,17%
Ehrendingen,,,,CHF 357,,,,,CHF 237,,75%,50%,50%,47%,40%,35%,30%,27%,25%,25%
Ennetbaden,,,,CHF 264,,,,,CHF 338,,80%,55%,55%,52%,52%,45%,40%,35%,32%,30%
Fislisbach,,,,CHF 288,,,,,CHF 255,,75%,50%,48%,45%,40%,35%,30%,28%,25%,23%
Freienwil ,,,,CHF 157,,,,,CHF 230,,50%,40%,38%,35%,31%,27%,24%,22%,20%,18%
Gebenstorf,,,,CHF 238,,,,,CHF 255,,60%,50%,45%,43%,40%,38%,31%,28%,26%,21%
Killwangen,,,,CHF 171,,,,,CHF 302,,80%,60%,55%,53%,50%,40%,35%,30%,27%,26%
Künten,,,,CHF 212,,,,,CHF 228,,50%,37%,35%,32%,32%,29%,27%,25%,24%,20%
Mägenwil,,,,CHF 251,,,,,CHF 256,,60%,40%,38%,36%,35%,32%,28%,24%,24%,20%
Mellingen,,,,CHF 194,,,,,CHF 255,,65%,42%,39%,38%,35%,33%,28%,26%,24%,20%
Neuenhof,,,,NA,,,,,CHF 257,,63%,52%,50%,47%,45%,33%,35%,30%,27%,25%
Niederrohrdorf,,,,CHF 235,,,,,CHF 260,,65%,44%,40%,37%,33%,30%,27%,25%,21%,20%
Oberrohrdorf,,,,CHF 279,,,,,CHF 261,,65%,45%,40%,38%,37%,32%,30%,28%,26%,23%
Obersiggenthal,,,,CHF 219,,,,,CHF 261,,63%,50%,47%,47%,45%,38%,35%,33%,30%,25%
Remetschwil,,,,CHF 257,,,,,CHF 269,,75%,50%,47%,40%,40%,35%,33%,30%,27%,25%
Spreitenbach,,,,CHF 258,,,,,CHF 297,,85%,60%,57%,57%,57%,53%,40%,37%,35%,30%
Stetten ,,,,CHF 199,,,,,CHF 235,,67%,42%,38%,35%,33%,30%,28%,25%,25%,22%
Turgi,,,,CHF 270,,,,,CHF 252,,65%,48%,49%,47%,45%,37%,33%,30%,30%,22%
Untersiggenthal ,,,,CHF 222,,,,,CHF 247,,70%,50%,47%,45%,43%,40%,32%,30%,28%,22%
Wettingen,,,,CHF 261,,,,,CHF 288,,80%,63%,60%,57%,52%,40%,38%,35%,30%,27%
Wohlenschwil ,,,,NA,,,,,CHF 243,,65%,45%,40%,40%,40%,37%,33%,30%,28%,23%
Würenlingen,,,,CHF 224,,,,,CHF 228,,50%,34%,33%,31%,30%,27%,23%,21%,20%,15%
Würenlos,,,,CHF 262,,,,,CHF 299,,60%,50%,44%,42%,40%,33%,32%,30%,25%,22%
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
