RELI,GDENR,X_KOORD,Y_KOORD,E_KOORD,N_KOORD,B19BTOT,B19B11,B19B12,B19B13,B19B14,B19B15,B19B16,B19B21,B19B22,B19B23,B19B24,B19B25,B19B26,B19B27,B19B28,B19B29,B19B30,B19BMTOT,B19BM01,B19BM02,B19BM03,B19BM04,B19BM05,B19BM06,B19BM07,B19BM08,B19BM09,B19BM10,B19BM11,B19BM12,B19BM13,B19BM14,B19BM15,B19BM16,B19BM17,B19BM18,B19BM19,B19BWTOT,B19BW01,B19BW02,B19BW03,B19BW04,B19BW05,B19BW06,B19BW07,B19BW08,B19BW09,B19BW10,B19BW11,B19BW12,B19BW13,B19BW14,B19BW15,B19BW16,B19BW17,B19BW18,B19BW19,B19B41,B19B42,B19B43,B19B44,B19B45,B19B46,B19B51,B19B52,B19B53,B19B54,B19B55,B19B56,H19PTOT,H19P01,H19P02,H19P03,H19P04,H19P05,H19P06,H19PI
67932357,1,679300,235700,2679300,1235700,10,9,1,1,0,0,0,10,1,7,2,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,3,1,5,1,0,10,0,0,0,0,0,,,,,,,,
67682368,2,676800,236800,2676800,1236800,71,48,23,12,5,6,0,45,11,20,14,0,26,10,5,11,0,41,1,0,2,2,2,6,4,5,4,3,2,1,4,1,0,0,3,0,1,30,1,0,2,0,2,3,2,1,0,2,1,3,1,3,1,1,2,4,1,3,14,8,38,8,0,68,0,1,2,0,0,,,,,,,,
67782410,3,677800,241000,2677800,1241000,20,14,6,6,0,0,0,12,1,7,4,0,8,7,0,1,0,10,0,0,0,0,0,2,1,1,0,1,0,0,0,0,1,0,1,3,0,10,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,4,0,3,2,15,0,0,20,0,0,0,0,0,,,,,,,,
68292331,4,682900,233100,2682900,1233100,23,22,1,0,0,1,0,21,0,11,10,0,2,0,0,2,0,7,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,1,0,16,0,0,0,0,0,0,1,0,0,1,1,2,1,0,1,1,4,2,2,0,3,0,16,4,0,23,0,0,0,0,0,1,1,0,0,0,0,0,1
67642390,5,676400,239000,2676400,1239000,19,16,3,2,0,1,0,13,0,10,3,0,6,3,0,3,0,6,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,13,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,6,0,3,2,13,1,0,19,0,0,0,0,0,,,,,,,,
68242313,6,682400,231300,2682400,1231300,4,4,0,0,0,0,0,3,1,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,,,,,,,,
67752309,7,677500,230900,2677500,1230900,4,4,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,,,,,,,,
67762330,9,677600,233000,2677600,1233000,23,18,5,2,0,3,0,19,0,11,8,0,4,3,0,1,0,12,1,0,0,1,0,0,2,0,1,1,1,2,0,0,2,0,0,1,0,11,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,4,1,4,3,13,1,1,21,1,0,1,0,0,,,,,,,,
67512353,10,675100,235300,2675100,1235300,31,28,3,1,0,2,0,23,3,15,5,0,8,4,1,3,0,9,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,1,2,22,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,6,10,0,4,0,24,3,0,31,0,0,0,0,0,,,,,,,,
67302372,11,673000,237200,2673000,1237200,17,12,5,2,3,0,0,11,0,5,6,0,6,3,3,0,0,11,0,0,0,0,2,1,0,1,0,1,1,0,1,2,1,0,0,0,1,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,2,2,10,2,0,16,1,0,0,0,0,1,0,1,0,0,0,0,1
68012328,12,680100,232800,2680100,1232800,8,7,1,0,0,1,0,7,1,5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,4,0,2,2,0,8,0,0,0,0,0,,,,,,,,
67952421,13,679500,242100,2679500,1242100,7,6,1,0,0,1,0,6,0,2,4,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,6,0,0,7,0,0,0,0,0,,,,,,,,
67822437,14,678200,243700,2678200,1243700,36,36,0,0,0,0,0,32,0,17,15,0,4,4,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,1,25,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,2,5,6,7,0,0,5,28,3,0,35,0,0,0,1,0,,,,,,,,
69132788,22,691300,278800,2691300,1278800,6,6,0,0,0,0,0,5,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,4,1,0,6,0,0,0,0,0,,,,,,,,
68722694,23,687200,269400,2687200,1269400,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,
68912670,24,689100,267000,2689100,1267000,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,,,,,,,,
68862800,25,688600,280000,2688600,1280000,8,8,0,0,0,0,0,8,1,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,6,1,0,8,0,0,0,0,0,,,,,,,,
69102698,26,691000,269800,2691000,1269800,3,3,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,,,,,,,,
69042830,27,690400,283000,2690400,1283000,10,9,1,1,0,0,0,9,1,2,6,0,1,0,1,0,0,8,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,10,0,0,0,0,0,,,,,,,,
68802701,28,688000,270100,2688000,1270100,2,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,,,,,,,,
68942820,29,689400,282000,2689400,1282000,12,11,1,1,0,0,0,10,1,2,7,0,2,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,1,0,0,11,0,0,11,0,0,1,0,0,,,,,,,,
