RELI;GDENR;X_KOORD;Y_KOORD;E_KOORD;N_KOORD;B20BTOT;B20B11;B20B12;B20B13;B20B14;B20B15;B20B16;B20B21;B20B22;B20B23;B20B24;B20B25;B20B26;B20B27;B20B28;B20B29;B20B30;B20BMTOT;B20BM01;B20BM02;B20BM03;B20BM04;B20BM05;B20BM06;B20BM07;B20BM08;B20BM09;B20BM10;B20BM11;B20BM12;B20BM13;B20BM14;B20BM15;B20BM16;B20BM17;B20BM18;B20BM19;B20BWTOT;B20BW01;B20BW02;B20BW03;B20BW04;B20BW05;B20BW06;B20BW07;B20BW08;B20BW09;B20BW10;B20BW11;B20BW12;B20BW13;B20BW14;B20BW15;B20BW16;B20BW17;B20BW18;B20BW19;B20B41;B20B42;B20B43;B20B44;B20B45;B20B46;B20B51;B20B52;B20B53;B20B54;B20B55;B20B56;H20PTOT;H20P01;H20P02;H20P03;H20P04;H20P05;H20P06;H20PI
67932357;1;679300;235700;2679300;1235700;13;12;1;1;0;0;0;13;2;9;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;5;0;1;2;8;2;0;13;0;0;0;0;0;;;;;;;;
67682368;2;676800;236800;2676800;1236800;59;35;24;17;4;3;0;33;7;14;12;0;26;14;5;7;0;33;0;0;1;1;1;4;3;6;3;3;2;4;2;3;0;0;0;0;0;26;0;0;1;0;3;1;1;0;1;3;2;3;0;2;1;1;2;3;2;5;12;5;32;5;0;54;2;0;3;0;0;3;3;0;0;0;0;0;1
67782410;3;677800;241000;2677800;1241000;23;18;5;5;0;0;0;16;0;9;7;0;7;6;0;1;0;10;0;0;0;0;0;2;1;1;0;0;1;0;1;0;1;0;0;2;1;13;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;2;4;1;5;2;15;0;0;22;1;0;0;0;0;;;;;;;;
68292331;4;682900;233100;2682900;1233100;19;18;1;0;0;1;0;17;0;9;8;0;2;0;0;2;0;6;0;0;0;0;0;1;0;1;0;0;1;0;0;2;0;0;0;1;0;13;0;0;0;0;0;0;1;0;0;0;2;2;1;0;0;1;1;2;3;0;1;1;13;4;0;19;0;0;0;0;0;;;;;;;;
67642390;5;676400;239000;2676400;1239000;20;16;4;4;0;0;0;16;0;12;4;0;4;3;0;1;0;7;0;0;0;0;1;1;0;0;0;0;1;0;2;1;0;0;0;0;1;13;0;0;0;1;1;0;0;0;0;0;0;0;1;2;0;2;0;1;5;0;5;2;11;2;0;20;0;0;0;0;0;;;;;;;;
68242313;6;682400;231300;2682400;1231300;5;4;1;1;0;0;0;4;1;1;2;0;1;1;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;3;0;0;5;0;0;0;0;0;;;;;;;;
67752309;7;677500;230900;2677500;1230900;10;10;0;0;0;0;0;9;0;6;3;0;1;0;0;1;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;6;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;3;3;0;0;7;0;0;7;2;1;0;0;0;1;0;0;1;0;0;0;1
67482320;8;674800;232000;2674800;1232000;2;2;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;2;0;0;0;0;0;;;;;;;;
67762330;9;677600;233000;2677600;1233000;27;24;3;2;0;1;0;23;2;15;6;0;4;3;0;1;0;13;0;0;0;0;0;0;1;0;2;0;1;2;1;0;0;2;1;1;2;14;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;2;5;0;5;3;14;5;0;27;0;0;0;0;0;;;;;;;;
67512353;10;675100;235300;2675100;1235300;30;29;1;1;0;0;0;23;5;13;5;0;7;4;1;2;0;8;0;0;0;0;1;0;1;0;0;0;1;2;0;0;1;0;0;1;1;22;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;1;7;9;1;2;2;22;3;0;29;1;0;0;0;0;;;;;;;;
67302372;11;673000;237200;2673000;1237200;9;9;0;0;0;0;0;9;0;4;5;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;1;0;0;2;2;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;7;2;0;9;0;0;0;0;0;;;;;;;;
68012328;12;680100;232800;2680100;1232800;5;4;1;0;0;1;0;4;1;3;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;1;2;0;5;0;0;0;0;0;;;;;;;;
67952421;13;679500;242100;2679500;1242100;11;9;2;2;0;0;0;7;0;3;4;0;4;4;0;0;0;5;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;1;2;0;8;0;0;10;0;0;1;0;0;;;;;;;;
67822437;14;678200;243700;2678200;1243700;43;42;1;1;0;0;0;38;0;19;19;0;5;5;0;0;0;14;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;3;6;1;29;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;4;7;8;6;0;0;2;38;3;0;43;0;0;0;0;0;;;;;;;;
